fpr,tpr
0.01179,0.78073
0.01179,0.78156
0.01179,0.78239
0.01179,0.78322
0.01186,0.78322
0.01186,0.78405
0.01193,0.78405
0.01200,0.78405
0.01200,0.78488
0.01207,0.78488
0.01214,0.78488
0.01214,0.78571
0.01220,0.78571
0.01220,0.78654
0.01220,0.78738
0.01227,0.78738
0.01234,0.78738
0.01241,0.78738
0.01248,0.78738
0.01254,0.78738
0.01261,0.78738
0.01268,0.78738
0.01275,0.78738
0.01282,0.78738
0.01282,0.78821
0.01282,0.78904
0.01282,0.78987
0.01282,0.79070
0.01289,0.79070
0.01295,0.79070
0.01302,0.79070
0.01309,0.79070
0.01309,0.79153
0.01309,0.79236
0.01316,0.79236
0.01323,0.79236
0.01323,0.79319
0.01329,0.79319
0.01329,0.79402
0.01329,0.79485
0.01336,0.79485
0.01336,0.79568
0.01336,0.79651
0.01336,0.79734
0.01343,0.79734
0.01343,0.79817
0.01343,0.79900
0.01343,0.79983
0.01350,0.79983
0.01357,0.79983
0.01357,0.80066
0.01357,0.80150
0.01357,0.80233
0.01364,0.80233
0.01364,0.80316
0.01364,0.80399
0.01370,0.80399
0.01370,0.80482
0.01377,0.80482
0.01377,0.80565
0.01377,0.80648
0.01377,0.80731
0.01377,0.80814
0.01384,0.80814
0.01391,0.80814
0.01391,0.80897
0.01398,0.80897
0.01398,0.80980
0.01404,0.80980
0.01404,0.81063
0.01404,0.81146
0.01411,0.81146
0.01411,0.81229
0.01411,0.81312
0.01418,0.81312
0.01425,0.81312
0.01425,0.81395
0.01425,0.81478
0.01425,0.81561
0.01425,0.81645
0.01432,0.81645
0.01439,0.81645
0.01439,0.81728
0.01445,0.81728
0.01452,0.81728
0.01452,0.81811
0.01459,0.81811
0.01466,0.81811
0.01473,0.81811
0.01479,0.81811
0.01486,0.81811
0.01486,0.81894
0.01486,0.81977
0.01493,0.81977
0.01500,0.81977
0.01500,0.82060
0.01500,0.82143
0.01500,0.82226
0.01500,0.82309
0.01507,0.82309
0.01507,0.82392
0.01507,0.82475
0.01513,0.82475
0.01513,0.82558
0.01513,0.82641
0.01513,0.82724
0.01520,0.82724
0.01527,0.82724
0.01534,0.82724
0.01541,0.82724
0.01548,0.82724
0.01554,0.82724
0.01561,0.82724
0.01568,0.82724
0.01575,0.82724
0.01575,0.82807
0.01575,0.82890
0.01575,0.82973
0.01575,0.83056
0.01575,0.83140
0.01582,0.83140
0.01588,0.83140
0.01588,0.83223
0.01588,0.83306
0.01588,0.83389
0.01588,0.83472
0.01588,0.83555
0.01595,0.83555
0.01595,0.83638
0.01602,0.83638
0.01602,0.83721
0.01609,0.83721
0.01616,0.83721
0.01623,0.83721
0.01623,0.83804
0.01623,0.83887
0.01623,0.83970
0.01623,0.84053
0.01623,0.84136
0.01623,0.84219
0.01623,0.84302
0.01623,0.84385
0.01629,0.84385
0.01629,0.84468
0.01629,0.84551
0.01629,0.84635
0.01636,0.84635
0.01636,0.84718
0.01643,0.84718
0.01650,0.84718
0.01657,0.84718
0.01657,0.84801
0.01663,0.84801
0.01670,0.84801
0.01677,0.84801
0.01684,0.84801
0.01691,0.84801
0.01698,0.84801
0.01704,0.84801
0.01711,0.84801
0.01711,0.84884
0.01718,0.84884
0.01725,0.84884
0.01725,0.84967
0.01732,0.84967
0.01738,0.84967
0.01745,0.84967
0.01752,0.84967
0.01759,0.84967
0.01766,0.84967
0.01773,0.84967
0.01779,0.84967
0.01786,0.84967
0.01793,0.84967
0.01800,0.84967
0.01807,0.84967
0.01813,0.84967
0.01820,0.84967
0.01827,0.84967
0.01827,0.85050
0.01834,0.85050
0.01834,0.85133
0.01834,0.85216
0.01834,0.85299
0.01834,0.85382
0.01834,0.85465
0.01834,0.85548
0.01841,0.85548
0.01848,0.85548
0.01854,0.85548
0.01861,0.85548
0.01868,0.85548
0.01875,0.85548
0.01882,0.85548
0.01888,0.85548
0.01895,0.85548
0.01902,0.85548
0.01909,0.85548
0.01916,0.85548
0.01923,0.85548
0.01929,0.85548
0.01936,0.85548
0.01936,0.85631
0.01943,0.85631
0.01950,0.85631
0.01957,0.85631
0.01963,0.85631
0.01970,0.85631
0.01970,0.85714
0.01977,0.85714
0.01984,0.85714
0.01984,0.85797
0.01984,0.85880
0.01991,0.85880
0.01998,0.85880
0.01998,0.85963
0.01998,0.86047
0.01998,0.86130
0.02004,0.86130
0.02011,0.86130
0.02011,0.86213
0.02011,0.86296
0.02018,0.86296
0.02025,0.86296
0.02032,0.86296
0.02038,0.86296
0.02045,0.86296
0.02045,0.86379
0.02045,0.86462
0.02052,0.86462
0.02052,0.86545
0.02059,0.86545
0.02066,0.86545
0.02073,0.86545
0.02079,0.86545
0.02086,0.86545
0.02093,0.86545
0.02100,0.86545
0.02107,0.86545
0.02107,0.86628
0.02107,0.86711
0.02107,0.86794
0.02113,0.86794
0.02120,0.86794
0.02127,0.86794
0.02134,0.86794
0.02141,0.86794
0.02148,0.86794
0.02154,0.86794
0.02154,0.86877
0.02161,0.86877
0.02161,0.86960
0.02168,0.86960
0.02175,0.86960
0.02182,0.86960
0.02188,0.86960
0.02195,0.86960
0.02195,0.87043
0.02202,0.87043
0.02209,0.87043
0.02216,0.87043
0.02223,0.87043
0.02229,0.87043
0.02236,0.87043
0.02243,0.87043
0.02243,0.87126
0.02250,0.87126
0.02257,0.87126
0.02263,0.87126
0.02270,0.87126
0.02277,0.87126
0.02284,0.87126
0.02291,0.87126
0.02298,0.87126
0.02304,0.87126
0.02304,0.87209
0.02311,0.87209
0.02318,0.87209
0.02325,0.87209
0.02332,0.87209
0.02338,0.87209
0.02338,0.87292
0.02345,0.87292
